id,name,affiliation,homepage,scholarid,dblpid,subareas
f280,Jae-Joon Kim,Seoul National University,,,79/6708,EDA
f281,Debayan Das,Unknown,,,138/1077,Circuits & VLSI Design
f282,Ronald G. Dreslinski,University of Michigan,,,83/1613,Computer Architecture
f283,Thomas F. Wenisch,University of Michigan,,,01/1282,Computer Architecture
f284,Jinjun Xiong,University at Buffalo,,,81/1130,EDA
f285,Antonino Tumeo,Unknown,,,53/3654,EDA
f286,Cheng Liu,Unknown,,,15/2288-8,EDA
f287,Paul V. Gratz,Texas A&M University,,,18/4038,Computer Architecture
f288,Qi Zhu,Unknown,,,66/5923-2,EDA
f289,Chaojian Li,HKUST,,,249/5403,Computer Architecture
f290,Youngsok Kim,Yonsei University,,,147/1001,Computer Architecture
f291,Sheldon X.-D. Tan,Univ. of California - Riverside,,,t/SXDTan,EDA
f292,Jae-Yoon Sim,Unknown,,,58/2400,Circuits & VLSI Design
f293,Yang Hu,Unknown,,,43/4685-1,Computer Architecture
f294,Youwei Zhuo,Peking University,,,199/8775,Computer Architecture
f295,Antonio González,Unknown,,,g/AntonioGonzalez1,Computer Architecture
f296,Gennady Pekhimenko,University of Toronto,,,118/8979,Computer Architecture
f297,Daniel A. Jiménez,Texas A&M University,,,96/2151,Computer Architecture
f298,Tor M. Aamodt,University of British Columbia,,,a/TorMAamodt,Computer Architecture
f299,Adwait Jog,University of Virginia,,,64/11467,Computer Architecture
f300,Heiner Litz,Univ. of California - Santa Cruz,,,89/5432,Computer Architecture
f301,Daniel Lustig,Unknown,,,56/9613,Computer Architecture
f302,Timothy G. Rogers,Unknown,,,55/11281,Computer Architecture
f303,Thomas Bourgeat,EPFL,,,145/1652,Computer Architecture
f304,Prashant J. Nair,University of British Columbia,,,159/0073,Computer Architecture
f305,Kaiyuan Yang,Unknown,,,81/11242,Circuits & VLSI Design
f306,Stefano Pellerano,Unknown,,,38/10283,Circuits & VLSI Design
f307,Yohan Frans,Unknown,,,28/10712,Circuits & VLSI Design
f308,Jian Pang,Unknown,,,05/6749,Circuits & VLSI Design
f309,Dmytro Cherniak,Unknown,,,127/7864,Circuits & VLSI Design
f310,Luca Bertulessi,Unknown,,,216/3666,Circuits & VLSI Design
f311,Bongjin Kim,Unknown,,,81/9430,Circuits & VLSI Design
f312,Drew A. Hall,Unknown,,,09/9431,Circuits & VLSI Design
f313,Andrea L. Lacaita,Unknown,,,52/2681,Circuits & VLSI Design
f314,Jiaxin Liu,Unknown,,,92/8473-1,Circuits & VLSI Design
f315,Zhichao Tan,Unknown,,,61/10352,Circuits & VLSI Design
f316,Ruonan Han,Unknown,,,59/10181-1,Circuits & VLSI Design
f317,Haikun Jia,Unknown,,,72/11307,Circuits & VLSI Design
f318,Avesta Sasan,Univ. of California - Davis,,,83/7356,EDA
f319,Changhao Yan,Unknown,,,79/6099,EDA
f320,Paul N. Whatmough,Unknown,,,87/9432,Computer Architecture
f321,Lei Jiang,Unknown,,,96/1994-1,EDA
f322,Shimeng Yu,Georgia Institute of Technology,,,60/11358,Circuits & VLSI Design
f323,Shao-Yun Fang,Unknown,,,53/8857,EDA
f324,Luca G. Amarù,Unknown,,,129/7719,EDA
f325,Christopher Batten,Cornell University,,,20/4601,Computer Architecture
f326,Tulika Mitra,National University of Singapore,,,22/5985,EDA
f327,Brian Zimmer,Unknown,,,125/7922,Circuits & VLSI Design
f328,Avinash Karanth,Ohio University,,,59/6384,Computer Architecture
f329,Yang Zhao,Unknown,,,50/2082-13,Computer Architecture
f330,Rosario Cammarota,Unknown,,,14/9927,EDA
f331,Shaahin Angizi,Unknown,,,149/0425,EDA
f332,Chia-Lin Yang,National Taiwan University,,,03/711,EDA
f333,Mark Tehranipoor,Unknown,,,t/MohammadTehranipoor,EDA
f334,Cheng Tan,Unknown,,,70/1533-2,EDA
f335,Liqiang Lu,Zhejiang University,,,202/5928,EDA
f336,William J. Dally,Unknown,,,d/WJDally,Computer Architecture
f337,Mengchu Li,Unknown,,,179/2965,EDA
f338,Lei Yang,Unknown,,,50/2484-18,EDA
f339,Zhenhua Zhu,Unknown,,,07/4259-2,EDA
f340,Ramesh Harjani,Unknown,,,22/2712,EDA
f341,Elad Alon,Unknown,,,59/5561,Circuits & VLSI Design
f342,Nan Guan,City University of Hong Kong,,,45/5411,EDA
f343,Gabriel H. Loh,Unknown,,,03/2782,Computer Architecture
f344,Jai-Ming Lin,Unknown,,,80/1342,EDA
f345,Anand Raghunathan,Unknown,,,74/3747,EDA
f346,Santosh Ghosh,Unknown,,,15/5063,Circuits & VLSI Design
f347,Wen-Mei W. Hwu,Unknown,,,03/4630,EDA
f348,Jinwei Liu,Hong Kong Baptist University,,,15/5652,EDA
f349,Kaisheng Ma,Tsinghua University,,,133/4053,Computer Architecture
f350,Lei Zhang,Unknown,,,64/5666-8,EDA
f351,Naifeng Jing,Unknown,,,23/8030,EDA
f352,Jiaqi Gu,Unknown,,,147/1190-2,EDA
f353,David R. Kaeli,Northeastern University,,,k/DavidRKaeli,EDA
f354,Kenli Li,Unknown,,,l/KenliLi,EDA
f355,Tao Li,Unknown,,,75/4601-6,Computer Architecture
f356,Jae-Sun Seo,Unknown,,,60/2321,EDA
f357,Zizheng Guo,Unknown,,,216/3002-1,EDA
f358,Pierre-Emmanuel Gaillardon,University of Utah,,,48/9513,EDA
f359,Michael C. Huang,Unknown,,,40/1854,Computer Architecture
f360,Ali Javadi-Abhari,Unknown,,,146/9595,Computer Architecture
f361,Alex K. Jones,Unknown,,,j/AKJones,Computer Architecture
f362,Dimin Niu,Unknown,,,53/8189,Computer Architecture
f363,Haoran You,Unknown,,,230/4247,Computer Architecture
f364,Timothy Sherwood,Univ. of California - Santa Barbara,,,23/3778,Computer Architecture
f365,Dean M. Tullsen,Univ. of California - San Diego,,,t/DeanMTullsen,Computer Architecture
f366,Arkaprava Basu,IISc Bangalore,,,12/6041,Computer Architecture
f367,Nandita Vijaykumar,University of Toronto,,,163/0027,Computer Architecture
f368,Nika Mansouri-Ghiasi,Unknown,,,205/1623,Computer Architecture
f369,Natalie D. Enright Jerger,University of Toronto,,,61/5482,Computer Architecture
f370,Xin Fu,Unknown,,,18/2495-1,Computer Architecture
f371,Shuaiwen Leon Song,University of Sydney,,,23/7512,Computer Architecture
f372,Christos Kozyrakis,Stanford University,,,k/ChristoforosEKozyrakis,Computer Architecture
f373,Haibo Chen,Unknown,,,31/6601-1,Computer Architecture
f374,Babak Falsafi,EPFL,,,f/BabakFalsafi,Computer Architecture
f375,Mohammed Alser,Unknown,,,178/2725,Computer Architecture
f376,Rajeev Balasubramonian,University of Utah,,,20/6518,Computer Architecture
f377,Xipeng Shen,Purdue University,,,36/4172,Computer Architecture
f378,Hsien-Hsin S. Lee,Unknown,,,168/5992,Computer Architecture
f379,Konstantinos Kanellopoulos,Unknown,,,250/8887,Computer Architecture
f380,Gilles Pokam,Unknown,,,78/3196,Computer Architecture
f381,Po-An Tsai,Unknown,,,160/0552,Computer Architecture
f382,Hun-Seok Kim,University of Michigan,,,77/6653,Circuits & VLSI Design
f383,Zhengya Zhang,Unknown,,,17/5332,Computer Architecture
f384,James W. Tschanz,Unknown,,,85/5803,Circuits & VLSI Design
f385,Massimo Alioto,Unknown,,,48/4750,Circuits & VLSI Design
f386,Fabio Sebastiano,Unknown,,,54/224,Circuits & VLSI Design
f387,Taiyun Chi,Rice University,,,137/1502,Circuits & VLSI Design
f388,Sensen Li,Unknown,,,196/1950,Circuits & VLSI Design
f389,Arun Natarajan,Unknown,,,90/3119,Circuits & VLSI Design
