id,name,affiliation,homepage,scholarid,dblpid,subareas
f580,Rikky Muller,Univ. of California - Berkeley,,,68/10249,Circuits & VLSI Design
f581,Jerald Yoo,Unknown,,,77/687,Circuits & VLSI Design
f582,Yong Chen,Unknown,,,67/6351-5,Circuits & VLSI Design
f583,Keith A. Bowman,Unknown,,,08/3065,Circuits & VLSI Design
f584,Ashbir Aviat Fadila,Unknown,,,237/1182,Circuits & VLSI Design
f585,Taekwang Jang,Unknown,,,38/10291,Circuits & VLSI Design
f586,Mingtao Zhan,Unknown,,,263/0744,Circuits & VLSI Design
f587,Baibhab Chatterjee,Unknown,,,166/2948,Circuits & VLSI Design
f588,Leo C. N. de Vreede,Unknown,,,98/10253,Circuits & VLSI Design
f589,Samuel Palermo,Unknown,,,34/10283,Circuits & VLSI Design
f590,Chengmo Yang,Unknown,,,06/4401,EDA
f591,Hung-Ming Chen,Unknown,,,70/3994,EDA
f592,Pradip Bose,Unknown,,,21/4612,Computer Architecture
f593,Chuanjin Richard Shi,Unknown,,,205/4088,Circuits & VLSI Design
f594,Jeff Zhang,Unknown,,,29/4363-1,EDA
f595,Todd M. Austin,University of Michigan,,,a/ToddMAustin,EDA
f596,Jungwook Choi,Unknown,,,97/4140,EDA
f597,Mathias Soeken,Unknown,,,20/3466,EDA
f598,Ming-Chang Yang,Chinese University of Hong Kong,,,123/7774,EDA
f599,Wenqin Huangfu,Unknown,,,173/9349,EDA
f600,Geraldo F. Oliveira,Unknown,,,197/9584,Computer Architecture
f601,Antonio Carlos Schneider Beck,UFRGS,,,02/7021,EDA
f602,Michael B. Taylor,University of Washington,,,09/3568,Computer Architecture
f603,Boris Murmann,Unknown,,,94/4508,Circuits & VLSI Design
f604,Razvan C. Bunescu,UNC - Charlotte,,,11/936,Computer Architecture
f605,Aarti Gupta,Princeton University,,,18/2229,EDA
f606,Francisco J. Cazorla,Unknown,,,52/1629,EDA
f607,Tseng-Yi Chen,Unknown,,,35/8471,EDA
f608,Wei-Kuan Shih,National Tsing Hua University,,,16/5006,EDA
f609,Li-Shiuan Peh,National University of Singapore,,,86/2160,EDA
f610,Xiao Shi,Unknown,,,179/9306-1,EDA
f611,Jongsun Park,Korea University,,,36/6402-1,EDA
f612,Satwik Patnaik,University of Delaware,,,199/8092,EDA
f613,Jürgen Teich,University of Erlangen–Nuremberg,,,t/JurgenTeich,EDA
f614,Edwin Hsing-Mean Sha,Unknown,,,27/2376,EDA
f615,Samarjit Chakraborty,University of North Carolina,,,c/SamarjitChakraborty,EDA
f616,Jiwu Shu,Tsinghua University,,,60/3690,EDA
f617,Vidya A. Chhabria,Unknown,,,240/0882,EDA
f618,Kai Ni,Unknown,,,46/3815-4,EDA
f619,Dan Feng,Unknown,,,48/5939-1,EDA
f620,Wei Tong,Unknown,,,11/4740-1,EDA
f621,Jingning Liu,Unknown,,,97/6737,EDA
f622,Weichen Liu,Unknown,,,24/914,EDA
f623,Jinwoo Kim,Unknown,,,85/1809,EDA
f624,Edward Lee,Unknown,,,99/4565,Circuits & VLSI Design
f625,Xianzhang Chen,Chongqing University,,,159/6715,EDA
f626,M. Hassan Najafi,Case Western Reserve University,,,167/9827,EDA
f627,Abdullah Ash-Saki,Unknown,,,234/1490,EDA
f628,Lukas Burgholzer,Unknown,,,241/4352,EDA
f629,Jie Zhang,Unknown,,,84/6889-48,Computer Architecture
f630,Xinfeng Xie,Unknown,,,145/6282,Computer Architecture
f631,Jianfeng Zhu,Unknown,,,69/6211-1,Computer Architecture
f632,Xiaofan Zhang,Unknown,,,28/9804-1,EDA
f633,Jack Sampson,Pennsylvania State University,,,11/2192,Computer Architecture
f634,Qiao Li,Unknown,,,00/5984-1,Computer Architecture
f635,Liang Shi,Unknown,,,09/6041-1,EDA
f636,Jingsong Chen,Unknown,,,192/1239,EDA
f637,Ramyad Hadidi,Unknown,,,199/7171,Computer Architecture
f638,Marco Minutoli,Unknown,,,165/4467,EDA
f639,Vito Giovanni Castellana,Unknown,,,115/7340,EDA
f640,Zhengang Li,Unknown,,,238/0343-1,EDA
f641,Indranil Chakraborty,Unknown,,,54/7402,EDA
f642,Jian-Wei Su,Unknown,,,236/3011,Circuits & VLSI Design
f643,Yajun Ha,ShanghaiTech University,,,29/3884,EDA
f644,Yi-Chen Lu,Unknown,,,149/4699,EDA
f645,Xun Jiao,Unknown,,,117/5478-2,EDA
f646,Yu Cao,Unknown,,,68/6563-1,EDA
f647,James Tuck,Unknown,,,85/6323,Computer Architecture
f648,Yanyue Xie,Unknown,,,276/1758,EDA
f649,Seokhyeong Kang,Unknown,,,12/8003,EDA
f650,Mingcong Song,Unknown,,,131/1894,Computer Architecture
f651,Zhongzhi Yu,Unknown,,,198/8338,EDA
f652,Joo-Young Kim,Unknown,,,43/2609-1,Computer Architecture
f653,Yukui Luo,Univ. of Massachusetts Dartmouth,,,221/0729,EDA
f654,Nathaniel Bleier,University of Michigan,,,270/3843,Computer Architecture
f655,Marcelo Orenes-Vera,Univ. of California - Santa Cruz,,,263/2605,Computer Architecture
f656,Fangxin Liu,Shanghai Jiao Tong University,,,198/2194,EDA
f657,Siddhartha Nath,Unknown,,,32/9477,EDA
f658,Yingjie Li,Unknown,,,32/1013,EDA
f659,Hyein Shin,Unknown,,,258/6650,EDA
f660,Myeonggu Kang,Unknown,,,217/8569,EDA
f661,Wayne Luk,Imperial College London,,,l/WayneLuk,EDA
f662,Hao Chen,Unknown,,,175/3324-59,EDA
f663,Hanning Chen,Unknown,,,96/989,EDA
f664,Yi Sheng,University of South Florida,,,305/4829-1,EDA
f665,Sixu Li,Unknown,,,198/7186,EDA
f666,Michael B. Sullivan,Unknown,,,82/9635,Computer Architecture
f667,Wonil Choi,Unknown,,,87/316,Computer Architecture
f668,Haikun Liu,HUST,,,43/849,EDA
f669,Yu Zhang,Unknown,,,50/671-27,EDA
f670,Jeyavijayan Rajendran,Unknown,,,79/9006,EDA
f671,Yeonhong Park,Unknown,,,259/2571,Computer Architecture
f672,Hongwu Peng,Unknown,,,292/5365,EDA
f673,Olivia Chen,Unknown,,,240/9045,EDA
f674,Guojin Chen,Unknown,,,53/8542,EDA
f675,Ao Ren,Chongqing University,,,185/5754,EDA
f676,Yun-Chen Lo,Unknown,,,220/9112,EDA
f677,José F. Martínez,Cornell University,,,m/JFMartinez,Computer Architecture
f678,Qi Liu,Unknown,,,95/2446-10,Circuits & VLSI Design
f679,Can Firtina,Univ. of Maryland - College Park,,,183/8795,Computer Architecture
f680,Shiyu Li,Unknown,,,47/1400-1,Computer Architecture
f681,Rongjian Liang,Unknown,,,257/8611,EDA
f682,Chunhua Deng,Unknown,,,169/0680,Computer Architecture
f683,Juan L. Aragón,University of Murcia,,,75/5591,Computer Architecture
f684,Naresh R. Shanbhag,Unknown,,,72/6310,Circuits & VLSI Design
f685,Mingu Kang,Unknown,,,50/7194,Computer Architecture
f686,José-María Arnau,Unknown,,,117/0577,Computer Architecture
f687,Daichi Fujiki,Unknown,,,177/7185,Computer Architecture
f688,Arun Subramaniyan,Unknown,,,168/1018,Computer Architecture
f689,Jiyong Yu,Unknown,,,218/6153,Computer Architecture
f690,Onur Kayiran,Unknown,,,127/2990,Computer Architecture
f691,Aasheesh Kolli,Unknown,,,138/4146,Computer Architecture
f692,Eojin Lee,Unknown,,,199/7202,Computer Architecture
f693,Akshitha Sriraman,Carnegie Mellon University,,,178/3217,Computer Architecture
f694,Ren Wang,Unknown,,,29/50-1,Computer Architecture
f695,Zhengrong Wang,Unknown,,,242/9000,Computer Architecture
f696,Siddharth Gupta,Unknown,,,45/7178-3,Computer Architecture
f697,Sihao Liu,Unknown,,,175/5266,Computer Architecture
f698,Xiaodong Wang,Unknown,,,07/1021-20,Computer Architecture
f699,Youngeun Kwon,Unknown,,,217/0552,Computer Architecture
f700,Sehwan Lee,Unknown,,,17/5969,Circuits & VLSI Design
f701,Sam Naffziger,Unknown,,,68/10253,Circuits & VLSI Design
f702,Tanvir Ahmed Khan,Unknown,,,172/7471-1,Computer Architecture
f703,Zheng Qu,Unknown,,,13/9687-2,Computer Architecture
f704,Miquel Moretó,Unknown,,,80/1904,Computer Architecture
f705,Tianyin Xu,Univ. of Illinois at Urbana-Champaign,,,90/7566,Computer Architecture
f706,Yanos Sazeides,Unknown,,,38/1130,Computer Architecture
f707,Rakesh Kumar,Unknown,,,98/4371-3,Computer Architecture
f708,Michael M. Swift,University of Wisconsin - Madison,,,s/MichaelMSwift,Computer Architecture
f709,Utsav Banerjee,Unknown,,,213/0925,Circuits & VLSI Design
f710,Jong Seok Park,Unknown,,,137/1527-1,Circuits & VLSI Design
f711,Frank O'Mahony,Unknown,,,24/6515,Circuits & VLSI Design
f712,Matthias Brändli,Unknown,,,05/5905,Circuits & VLSI Design
f713,Pier Andrea Francese,Unknown,,,42/10286,Circuits & VLSI Design
f714,Thomas Morf,Unknown,,,77/10253,Circuits & VLSI Design
f715,Marcel A. Kossel,Unknown,,,79/4329,Circuits & VLSI Design
f716,Ken Chang,Unknown,,,42/10254,Circuits & VLSI Design
f717,Yogesh Ramadass,Unknown,,,79/1763,Circuits & VLSI Design
f718,Gyu-Hyeong Cho,Unknown,,,24/5305,Circuits & VLSI Design
f719,Bryan Casper,Unknown,,,98/6302,Circuits & VLSI Design
f720,Jiayoon Ru,Unknown,,,196/1859,Circuits & VLSI Design
f721,Zheng Sun,Unknown,,,36/2849-1,Circuits & VLSI Design
f722,Hoi Lee,Unknown,,,11/5598,Circuits & VLSI Design
f723,Dongsheng Brian Ma,Unknown,,,176/6315,Circuits & VLSI Design
f724,Wanyuan Qu,Unknown,,,193/8716,Circuits & VLSI Design
f725,Euiyoung Park,Unknown,,,206/1610,Circuits & VLSI Design
f726,Robert Bogdan Staszewski,Unknown,,,09/5632,Circuits & VLSI Design
f727,Cheng-Xin Xue,Unknown,,,216/3418,Circuits & VLSI Design
f728,Alice Wang,Unknown,,,45/2992-2,Circuits & VLSI Design
f729,Minglei Zhang,Unknown,,,205/8019,Circuits & VLSI Design
f730,Donghyeon Han,Unknown,,,212/1662,Circuits & VLSI Design
f731,Sheldon Weng,Unknown,,,172/1784,Circuits & VLSI Design
f732,Brent R. Carlton,Unknown,,,124/8008,Circuits & VLSI Design
f733,Yun Wang,Unknown,,,36/3235-8,Circuits & VLSI Design
f734,Amr Khashaba,Unknown,,,210/8330,Circuits & VLSI Design
f735,Hung-Jen Liao,Unknown,,,74/958,Circuits & VLSI Design
f736,Jonghyun Oh,Unknown,,,176/6143,Circuits & VLSI Design
f737,Hangi Park,Unknown,,,254/0081,Circuits & VLSI Design
f738,Alessio Santiccioli,Unknown,,,246/2916,Circuits & VLSI Design
f739,Chia-Hsiang Yang,Unknown,,,98/6552,Circuits & VLSI Design
f740,Yihan Zhang,Unknown,,,119/9989-2,Circuits & VLSI Design
f741,Tony Tae-Hyoung Kim,Unknown,,,125/7918,Circuits & VLSI Design
f742,Ming Liu,Unknown,,,20/2039-22,Circuits & VLSI Design
f743,Yuncheng Zhang,Unknown,,,147/1547,Circuits & VLSI Design
f744,Menglian Zhao,Unknown,,,65/5158,Circuits & VLSI Design
f745,Zhangming Zhu,Unknown,,,48/7723,Circuits & VLSI Design
f746,Kuo-Lin Zheng,Unknown,,,19/10710,Circuits & VLSI Design
f747,Woogeun Rhee,Unknown,,,04/2954,Circuits & VLSI Design
f748,Song Bian,Unknown,,,179/7914,EDA
f749,Weizhe Hua,Unknown,,,184/1257,Computer Architecture
f750,Swagath Venkataramani,Unknown,,,48/11468,EDA
f751,Xiaoyu Sun,Unknown,,,23/7764-1,Circuits & VLSI Design
f752,Simone Campanoni,Northwestern University,,,39/2917,Computer Architecture
f753,Chun-Feng Wu,National Chiao Tung University,,,90/597,EDA
f754,Shaza Zeitouni,Unknown,,,137/9430,EDA
f755,Nikil D. Dutt,Univ. of California - Irvine,,,d/NikilDDutt,EDA
f756,Alicia Klinefelter,Unknown,,,13/11177,Circuits & VLSI Design
f757,Nathaniel Ross Pinckney,Unknown,,,28/3818,EDA
f758,Benjamin Carrión Schäfer,Unknown,,,92/3091,EDA
f759,Jason M. Fung,Unknown,,,205/6407,EDA
f760,Huanrui Yang,Unknown,,,221/2845,EDA
f761,Pi-Cheng Hsiu,Unknown,,,73/4832,EDA
f762,Lei He,Unknown,,,75/5673-1,EDA
f763,Johann Knechtel,Unknown,,,94/9547,EDA
f764,Gengjie Chen,Unknown,,,163/2323,EDA
f765,Zhuo Feng,Unknown,,,81/4441,EDA
f766,Bonan Yan,Unknown,,,161/0839,EDA
f767,Haibo Zhang,Unknown,,,99/5971-5,Computer Architecture
f768,Shulin Zhao,Unknown,,,172/2692-1,Computer Architecture
f769,Jieru Zhao,Shanghai Jiao Tong University,,,211/0078,EDA
f770,Jiho Kim,Unknown,,,50/5515,Computer Architecture
f771,Youyou Lu,Tsinghua University,,,96/8005,EDA
f772,Haiyu Mao,Unknown,,,170/5428,Computer Architecture
f773,Rujia Wang,Unknown,,,159/0037,Computer Architecture
f774,Biying Xu,Unknown,,,170/0153,EDA
f775,Victor N. Kravets,Unknown,,,55/2821,EDA
f776,Meghna Madhusudan,Unknown,,,241/4342,EDA
f777,Wenping Zhu,Unknown,,,144/0494,EDA
f778,Nikola Nedovic,Unknown,,,05/6537,Circuits & VLSI Design
f779,Hadi Mardani Kamali,Unknown,,,182/4036,EDA
f780,Hao Geng,ShanghaiTech University,,,116/7660,EDA
f781,Shih-Ting Lin,Unknown,,,166/6509,EDA
f782,Xuechao Wei,Unknown,,,08/10954,EDA
f783,Steve Dai,Unknown,,,80/10397,EDA
f784,Jacob R. Stevens,Unknown,,,203/6664,EDA
f785,Sayandeep Saha,IIT Bombay,,,148/6886,EDA
f786,Youhui Zhang,Tsinghua University,,,00/5995,EDA
f787,Mengying Zhao,Shandong University,,,73/11467,EDA
f788,Wang Kang,Unknown,,,138/9373-1,EDA
f789,Pu Zhao,Unknown,,,75/8475-1,EDA
f790,Minxuan Zhou,Illinois Institute of Technology,,,176/6533,EDA
f791,Hyoukjun Kwon,Unknown,,,203/0006,Computer Architecture
f792,Ik-Joon Chang,Unknown,,,92/6854,EDA
f793,Matthew M. Ziegler,Unknown,,,90/281,EDA
f794,Bentian Jiang,Unknown,,,233/8123,EDA
f795,Joseph B. Manzano,Unknown,,,47/7029,EDA
f796,Xiaolong Ma,Clemson University,,,47/5714,EDA
f797,Huili Chen,Unknown,,,122/1230,EDA
f798,Walker J. Turner,Unknown,,,175/9163,Circuits & VLSI Design
f799,Ta-Wei Liu,Unknown,,,205/0213,Circuits & VLSI Design
f800,Bradford M. Beckmann,Unknown,,,79/413,Computer Architecture
f801,Mark Horowitz,Stanford University,,,h/MarkHorowitz,EDA
f802,Mengshu Sun,Unknown,,,193/2457,EDA
f803,Yan Wang,Unknown,,,59/2227-23,Circuits & VLSI Design
f804,Fei Sun,Unknown,,,51/394-2,Computer Architecture
f805,Soroush Ghodrati,Unknown,,,226/3827,Computer Architecture
f806,Hailong Yao,Tsinghua University,,,72/2941-2,EDA
f807,Rachmad Vidya Wicaksana Putra,Unknown,,,54/10157,EDA
f808,Vikas Chandra,Unknown,,,57/5163,Computer Architecture
f809,Kui Ren,Unknown,,,20/6179-1,EDA
f810,Vikram B. Suresh,Unknown,,,49/9412,Circuits & VLSI Design
f811,Byungsub Kim,Unknown,,,55/3532,Circuits & VLSI Design
f812,Isak Edo,Unknown,,,248/8951,Computer Architecture
f813,Chao Li,Unknown,,,66/190-9,Computer Architecture
f814,Chao Huang,Unknown,,,18/4087-15,EDA
f815,Colin Schmidt,Unknown,,,187/9300,EDA
f816,Jerry Zhao,Unknown,,,08/5182,Computer Architecture
f817,Gaurav Kolhe,Unknown,,,236/4940,EDA
f818,Georgios Tziantzioulis,Unknown,,,33/10064,Computer Architecture
f819,Ivan De Oliveira Nunes,University of Zurich,,,173/5375,EDA
f820,Michael F. P. O'Boyle,University of Edinburgh,,,07/521,Computer Architecture
f821,Haowen Fang,Unknown,,,228/1729,EDA
f822,Jidong Zhai,Tsinghua University,,,72/7413,Computer Architecture
f823,Masamitsu Tanaka,Unknown,,,20/726,Computer Architecture
f824,Juzheng Liu,Unknown,,,227/2299,EDA
f825,Hsiang-Yun Cheng,Unknown,,,19/9032,EDA
f826,Jakub Szefer,Northwestern University,,,66/8277,Computer Architecture
f827,Prathyush Poduval,Unknown,,,305/9453,EDA
f828,Zhuowen Zou,Unknown,,,290/8911,EDA
f829,Wentian Jin,Unknown,,,246/5197,EDA
f830,Bingsheng He,National University of Singapore,,,h/BingshengHe,Computer Architecture
f831,Jiaxi Zhang,Unknown,,,152/2306,EDA
f832,Trevor N. Mudge,Unknown,,,m/TrevorNMudge,Computer Architecture
f833,Francesco Conti,Unknown,,,50/8932-1,EDA
f834,Hongxiang Fan,Unknown,,,200/2748,EDA
f835,Yanan Sun,Unknown,,,44/8711-3,EDA
f836,Subramanian S. Iyer,Unknown,,,87/3451,EDA
f837,Sudhakar Pamarti,Unknown,,,24/5690,Circuits & VLSI Design
f838,Puneet Gupta,Unknown,,,06/1383-1,Computer Architecture
f839,Zhuolun He,Unknown,,,194/3907,EDA
f840,Jiang Xu,Unknown,,,20/4396-1,EDA
f841,Junhuan Yang,Unknown,,,206/2409,EDA
f842,Liang Chang,Unknown,,,72/6746-2,Circuits & VLSI Design
f843,Ann Franchesca Laguna,De La Salle University,,,150/9555,EDA
f844,Hao Guo,Unknown,,,97/3499,Circuits & VLSI Design
f845,Shubham Rai,Unknown,,,218/1119,EDA
f846,Mario Konijnenburg,Unknown,,,k/MHKonijnenburg,Circuits & VLSI Design
f847,Mingyu Yan,Unknown,,,151/5654,EDA
f848,Yaohua Wang,Unknown,,,46/8559,Computer Architecture
f849,Chen-Chia Chang,Unknown,,,222/4501,EDA
f850,Weidong Cao,Unknown,,,61/5251-1,EDA
f851,Qi Sun,Unknown,,,05/4187-2,EDA
f852,Lei Ju,Unknown,,,97/3791-1,EDA
f853,Jianye Hao,Tianjin University,,,21/7664,EDA
f854,Nobuyuki Yoshikawa,Unknown,,,90/6854,EDA
f855,Nicolas Bohm Agostini,Unknown,,,248/4986,EDA
f856,Yanyu Li,Unknown,,,194/5818,EDA
f857,Meizhi Wang,Unknown,,,151/4525,Circuits & VLSI Design
f858,Yufei Ma,Unknown,,,32/333-2,EDA
f859,Yuan Wang,Unknown,,,41/3241-1,Circuits & VLSI Design
f860,Hung-Wei Tseng,Unknown,,,76/1857-1,Computer Architecture
f861,Yanan Guo,Unknown,,,120/5486-2,Computer Architecture
f862,Pengcheng Yao,Unknown,,,183/5361,Computer Architecture
f863,Sudipto Chakraborty,Unknown,,,36/4663,Circuits & VLSI Design
f864,Zheng Zhang,Unknown,,,181/2621-5,EDA
f865,Mohit Tiwari,Unknown,,,33/65,Computer Architecture
f866,Jilan Lin,Unknown,,,218/1164,Computer Architecture
f867,Anupam Chattopadhyay,Nanyang Technological University,,,99/4535,EDA
f868,Mark Hempstead,Tufts University,,,53/1682,Computer Architecture
f869,Peng Gu,Unknown,,,33/5231,Computer Architecture
f870,Davide Giri,Unknown,,,158/0860,Circuits & VLSI Design
f871,Kevin Tien,Unknown,,,177/3992,Circuits & VLSI Design
f872,Yu Feng,Unknown,,,30/4550-7,Computer Architecture
f873,Lisa Wu Wills,Duke University,,,23/3943,Computer Architecture
f874,Lingjia Tang,University of Michigan,,,35/1464,Computer Architecture
f875,Jason Mars,University of Michigan,,,48/6796,Computer Architecture
f876,Akanksha Jain,Unknown,,,138/4187,Computer Architecture
f877,Nastaran Hajinazar,Unknown,,,202/2465,Computer Architecture
f878,Matthew D. Sinclair,University of Wisconsin - Madison,,,27/9796,Computer Architecture
f879,Steven Swanson,Univ. of California - San Diego,,,97/3886,Computer Architecture
f880,Vilas Sridharan,Unknown,,,40/5734,Computer Architecture
f881,Simha Sethumadhavan,Columbia University,,,46/652,Computer Architecture
f882,Joonsung Kim,Sungkyunkwan University,,,216/7152,Computer Architecture
f883,Kunle Olukotun,Stanford University,,,o/KunleOlukotun,Computer Architecture
f884,Binyu Zang,Shanghai Jiao Tong University,,,86/680,Computer Architecture
f885,Qi Guo,Unknown,,,67/398-1,Computer Architecture
f886,Tianshi Chen,Unknown,,,60/419-2,Computer Architecture
f887,Yejin Lee,Unknown,,,185/6602-1,Computer Architecture
f888,Jian Weng,Unknown,,,81/1232-2,Computer Architecture
f889,Vidushi Dadu,Unknown,,,241/6206,Computer Architecture
f890,Haocong Luo,Unknown,,,266/1450,Computer Architecture
f891,Chencheng Ye,Unknown,,,89/10957-1,Computer Architecture
f892,Alaa R. Alameldeen,Simon Fraser University,,,77/5087,Computer Architecture
f893,Jing Jane Li,University of Pennsylvania,,,181/2820-73,Computer Architecture
f894,Yale N. Patt,Unknown,,,p/YaleNPatt,Computer Architecture
f895,Ali Shafiee,Unknown,,,87/9640,Computer Architecture
f896,Sukhwan Lim,Unknown,,,50/1984,Circuits & VLSI Design
f897,Jaehoon Lee,Unknown,,,95/386-5,Circuits & VLSI Design
f898,Tom Burd,Unknown,,,20/9612,Circuits & VLSI Design
f899,Kuan-Yu Chen,Unknown,,,35/6313-1,Computer Architecture
f900,Jonathan Balkind,Univ. of California - Santa Barbara,,,157/2812,Computer Architecture
f901,Fei Gao,Unknown,,,16/722-16,Computer Architecture
f902,Jian Chen,Unknown,,,49/6002,Computer Architecture
f903,Osman Sabri Unsal,Unknown,,,79/1809,Computer Architecture
f904,Adrián Cristal,Unknown,,,41/1128,Computer Architecture
f905,Stephen G. Tell,Unknown,,,12/5057,Circuits & VLSI Design
f906,Apostolos Kokolis,Unknown,,,179/2878,Computer Architecture
f907,Xiaowei Jiang,Unknown,,,31/2484,Computer Architecture
f908,Liang Xiong,Unknown,,,48/305,Circuits & VLSI Design
f909,Fei Wang,Unknown,,,52/3194-40,Circuits & VLSI Design
f910,Makoto Ikeda,Unknown,,,29/1552,Circuits & VLSI Design
f911,Yusuke Oike,Unknown,,,89/4895,Circuits & VLSI Design
f912,Edith Beigné,Unknown,,,95/6911,Circuits & VLSI Design
f913,Se-Un Shin,Unknown,,,160/5284,Circuits & VLSI Design
f914,Michiel A. P. Pertijs,Unknown,,,27/511,Circuits & VLSI Design
f915,Gyeong-Gu Kang,Unknown,,,216/3324,Circuits & VLSI Design
f916,Hyunki Han,Unknown,,,216/3583,Circuits & VLSI Design
f917,Seouk-Kyu Choi,Unknown,,,176/6291,Circuits & VLSI Design
f918,Jung-Hwan Choi,Unknown,,,90/8603,Circuits & VLSI Design
f919,Un-Ku Moon,Oregon State University,,,59/5456,Circuits & VLSI Design
f920,John Poulton,Unknown,,,86/5771,Circuits & VLSI Design
f921,Sanquan Song,Unknown,,,66/602,Circuits & VLSI Design
f922,Long Yan,Unknown,,,99/1615,Circuits & VLSI Design
f923,Somnath Kundu,Unknown,,,119/4166,Circuits & VLSI Design
f924,Yejoong Kim,Unknown,,,91/10049,Circuits & VLSI Design
f925,Juyeop Kim,Unknown,,,03/3253,Circuits & VLSI Design
f926,Ahmed Elkholy,Unknown,,,160/5381,Circuits & VLSI Design
f927,Seyeon Yoo,Unknown,,,176/6139,Circuits & VLSI Design
f928,Yun Yin,Unknown,,,120/2553,Circuits & VLSI Design
f929,Takahiro Nomiyama,Unknown,,,160/5213,Circuits & VLSI Design
f930,Jong-Beom Baek,Unknown,,,186/1216,Circuits & VLSI Design
f931,Hongye Huang,Unknown,,,216/3311,Circuits & VLSI Design
f932,Christian Bachmann,Unknown,,,87/7330,Circuits & VLSI Design
f933,Jongyup Lim,Unknown,,,216/3724,Circuits & VLSI Design
f934,Nereo Markulic,Unknown,,,156/4812,Circuits & VLSI Design
f935,Abhishek Mukherjee,Unknown,,,202/8228,Circuits & VLSI Design
f936,Nachiket V. Desai,Unknown,,,127/8089,Circuits & VLSI Design
f937,Moon Hyung Jang,Unknown,,,228/7181,Circuits & VLSI Design
f938,Behzad Razavi,Unknown,,,79/6032,Circuits & VLSI Design
f939,Nilanjan Pal,Unknown,,,146/0588,Circuits & VLSI Design
f940,Bangan Liu,Unknown,,,166/7179,Circuits & VLSI Design
f941,Junjun Qiu,Unknown,,,219/2639,Circuits & VLSI Design
f942,Seunghyun Oh,Unknown,,,07/1513,Circuits & VLSI Design
f943,Yen-Cheng Chiu,Unknown,,,237/0960,Circuits & VLSI Design
f944,Hidehiro Fujiwara,Unknown,,,71/5072,Circuits & VLSI Design
f945,Yen-Huei Chen,Unknown,,,47/11224,Circuits & VLSI Design
f946,Peter R. Kinget,Unknown,,,k/PeterRKinget,Circuits & VLSI Design
f947,Tzu-Yuan Huang,Unknown,,,246/3129,Circuits & VLSI Design
f948,Changuk Lee,Unknown,,,234/1804,Circuits & VLSI Design
f949,Hugh Mair,Unknown,,,20/71,Circuits & VLSI Design
f950,Kaushik Sengupta,Unknown,,,01/10253,Circuits & VLSI Design
f951,Xiang Yi,Unknown,,,77/7607,Circuits & VLSI Design
f952,JungChak Ahn,Unknown,,,49/10247,Circuits & VLSI Design
f953,Mo Huang,Unknown,,,157/0484,Circuits & VLSI Design
f954,Shanthi Pavan,Unknown,,,70/1566,Circuits & VLSI Design
f955,Chanwoong Hwang,Unknown,,,263/0446,Circuits & VLSI Design
f956,Marco Berkhout,Unknown,,,21/9802,Circuits & VLSI Design
f957,Qinwen Fan,Unknown,,,09/10277,Circuits & VLSI Design
f958,Yan He,Unknown,,,06/2917-2,Circuits & VLSI Design
f959,Shovan Maity,Unknown,,,87/11142,Circuits & VLSI Design
f960,Sang-Gug Lee,Unknown,,,11/5594,Circuits & VLSI Design
f961,Daniel S. Truesdell,Unknown,,,228/2807,Circuits & VLSI Design
f962,Yiyu Shen,Unknown,,,166/2987,Circuits & VLSI Design
f963,Morteza S. Alavi,Unknown,,,196/1749,Circuits & VLSI Design
f964,Bingzheng Yang,Unknown,,,258/5411,Circuits & VLSI Design
f965,Simone Mattia Dartizio,Unknown,,,287/1267,Circuits & VLSI Design
f966,Francesco Tesolin,Unknown,,,285/5695,Circuits & VLSI Design
f967,Francesco Buccoleri,Unknown,,,287/2076,Circuits & VLSI Design
f968,Sohmyung Ha,Unknown,,,144/6217,Circuits & VLSI Design
f969,Fa Foster Dai,Unknown,,,62/1110,Circuits & VLSI Design
f970,Zhong Tang,Unknown,,,23/7565,Circuits & VLSI Design
f971,Zhixian Deng,Unknown,,,244/5525,Circuits & VLSI Design
f972,Yu-Sheng Lu,Unknown,,,63/3960,EDA
f973,Hao-Yu Chi,Unknown,,,201/5754,EDA
f974,Fei Qiao,Unknown,,,34/4515,EDA
f975,Chixiao Chen,Unknown,,,125/2452,Circuits & VLSI Design
f976,Lillian Pentecost,Unknown,,,174/4187,Computer Architecture
f977,Tao Liu,Unknown,,,43/656-23,EDA
f978,Sayeh Sharify,Unknown,,,188/6204,Computer Architecture
f979,Alberto Delmas Lascorz,Unknown,,,202/1799,Computer Architecture
f980,Kevin Siu,Unknown,,,220/9008,Computer Architecture
f981,Xiaochen Peng,Unknown,,,214/9871,EDA
f982,Anthony Agnesina,Unknown,,,221/2864,EDA
f983,James Chien-Mo Li,Unknown,,,l/ChienMoJamesLi,EDA
f984,Sherief Reda,Brown University,,,11/6528,EDA
f985,Heba Khdr,Unknown,,,129/2048,EDA
f986,Matthew Fojtik,Unknown,,,85/9849,EDA
f987,H.-S. Philip Wong,Unknown,,,48/6697,Circuits & VLSI Design
f988,Ray T. Chen,Unknown,,,53/4318,EDA
f989,Gene Tsudik,Univ. of California - Irvine,,,08/1183,EDA
f990,Sayak Ray,Unknown,,,17/149,EDA
f991,Mingsong Chen,Unknown,,,95/573-1,EDA
f992,Hanbin Hu,Unknown,,,158/7413,EDA
f993,Leonidas Kosmidis,Unknown,,,118/0818,EDA
f994,Chenchen Liu,Unknown,,,151/4584,EDA
